lang,metric,signal,n_weeks,r_level,p_level,r_diff,p_diff,best_lag_w,ccf_best,q_level,q_diff
ru,neg_sentiment,hy_spread,63,-0.2806575760055443,0.047619047619047616,0.0697308707828001,0.6290322580645161,-6,0.25407074220607034,0.3333333333333333,0.9838709677419355
ru,neg_sentiment,sp500_ret,63,-0.09760606178647356,0.3968253968253968,-0.13040692547299668,0.27419354838709675,5,-0.2407655274744203,0.7575757575757576,0.9838709677419355
ru,neg_sentiment,epu,63,-0.1278521782471595,0.23809523809523808,-0.03596044882012609,0.9032258064516129,-1,0.1922770226964809,0.75,0.9838709677419355
ru,nightmare_index,vix,63,0.023597662236208114,0.9365079365079365,-0.034052373834728526,0.8870967741935484,6,0.28957991802810157,0.9666666666666667,0.9838709677419355
ru,nightmare_index,dff,63,-0.07126964965700003,0.8571428571428571,0.07179908323339679,0.46774193548387094,-5,-0.27117325573683726,0.9642857142857143,0.9838709677419355
ru,nightmare_index,dollar,63,0.14309468937764225,0.4444444444444444,-0.07620245219713548,0.5806451612903226,-6,-0.2439720929665062,0.7777777777777778,0.9838709677419355
ru,nightmare_index,yield_2s10s,63,-0.18931174333270856,0.2222222222222222,0.0724194786633961,0.5645161290322581,3,-0.21688477121376376,0.75,0.9838709677419355
ru,nightmare_index,hy_spread,63,0.033789138142717196,0.9047619047619048,-0.10681293302311928,0.3548387096774194,-6,-0.35470680542814204,0.9666666666666667,0.9838709677419355
ru,nightmare_index,sp500_ret,63,0.08800164671164926,0.47619047619047616,0.13066985618417856,0.46774193548387094,-5,-0.23706295547672668,0.8006249999999999,0.9838709677419355
ru,nightmare_index,epu,63,0.04197361776463907,0.7301587301587301,0.00819168187753809,0.9354838709677419,-1,-0.3397438290605517,0.9014150943396226,0.9838709677419355
ru,negativity,vix,63,0.05647102444019125,0.7301587301587301,-0.017279707247410358,0.8870967741935484,2,0.29875307586715333,0.9014150943396226,0.9838709677419355
ru,negativity,dff,63,-0.3466799786045842,0.047619047619047616,-0.012108338187881703,0.9516129032258065,6,-0.3907571837365079,0.3333333333333333,0.9838709677419355
ru,negativity,dollar,63,-0.05918849151761653,0.7777777777777778,-0.005749807875525412,0.9838709677419355,4,0.25935264922527307,0.9068181818181819,0.9838709677419355
ru,negativity,yield_2s10s,63,-0.17117114318048235,0.38095238095238093,0.10629411698450783,0.43548387096774194,3,-0.3074895824341716,0.75,0.9838709677419355
ru,negativity,hy_spread,63,-0.15568973892268675,0.30158730158730157,-0.0810175054929106,0.5806451612903226,-6,-0.3186652593094353,0.75,0.9838709677419355
ru,negativity,sp500_ret,63,-0.06412663824473296,0.5873015873015873,0.009347474888937723,0.9838709677419355,-5,-0.2599579909902168,0.8471590909090909,0.9838709677419355
ru,negativity,epu,63,-0.08760227403428175,0.4444444444444444,0.09194919851156796,0.532258064516129,2,0.278453903120221,0.7777777777777778,0.9838709677419355
